"Enabled","Activé"
"Title","Titre"
"New Order Status","Statut d'une nouvelle commande"
"TPE number","Numéro de TPE"
"Secret Key","Clé secrète"
"URL Gateway Configuration","Type de passerelle à utiliser"
"Gateway URL for approval","URL pour l'homologation"
"Gateway URL for production","URL pour la production"
"Please wait, you will be redirected to the payment form.","Veuillez patienter, vous allez être redirigé vers le formulaire de paiement."
"Or click here.","Si ce n'est pas le cas, cliquez ici."
"Sort Order","Ordre de tri"
"Activate payment in one clic","Activer le paiement en un clic"
"Customer can choose to save his credit card","Le client peut choisir de sauvegarder sa CB"
